time;open;high;low;close
"2020-03-30 05:00:00";5925.53848884;7088.24732438;5903.23434726;6791.12944093
"2020-04-06 05:00:00";6788.04980287;7427.93933989;6782.88974461;6971.09159108
"2020-04-13 05:00:00";6965.61663772;7280.52178187;6555.50427487;7189.42482356
"2020-04-20 05:00:00";7186.8737411;7700.59429483;6834.44232463;7679.86720422
"2020-04-27 05:00:00";7679.41895085;9440.65067326;7679.41895085;8897.46850985
"2020-05-04 05:00:00";8895.74487399;9996.74335304;8395.10745112;8756.43114193
"2020-05-11 05:00:00";8755.5356389;9823.0022878;8374.32297508;9670.73937122
"2020-05-18 05:00:00";9675.69498013;9906.03020325;8787.251002;8790.36800074
"2020-05-25 05:00:00";8786.10769511;9704.03030928;8719.66836224;9461.05891806
"2020-06-01 05:00:00";9463.6056622;10199.5649719;9450.89911148;9758.8524174
"2020-06-08 05:00:00";9760.0632524;9938.29767389;9263.06958826;9386.78789214
"2020-06-15 05:00:00";9386.03529073;9579.43037458;8990.1759467;9303.62971409
"2020-06-22 05:00:00";9300.91545819;9680.36714624;8975.52585473;9143.58219104
"2020-06-29 05:00:00";9140.02907078;9309.75486362;8977.01563525;9073.94286936
"2020-07-06 05:00:00";9072.85007426;9450.33567174;9058.6644583;9276.49985018
"2020-07-13 05:00:00";9277.2046601;9306.40492983;9088.94740241;9185.81691242
"2020-07-20 05:00:00";9187.22037014;10023.807661;9137.50962153;9905.16724705
"2020-07-27 05:00:00";9905.21791377;12034.1441504;9903.97011125;11053.613901
"2020-08-03 05:00:00";11043.7688847;11902.3359717;11012.4147398;11675.7393433
"2020-08-10 05:00:00";11382.78588591;11947.0089222;11318.02142013;11898.2756619
"2020-08-17 05:00:00";11898.20571733;12345.22808761;11464.27133393;11677.92579602
"2020-08-24 05:00:00";11675.7267169;13149.69444935;104.61895563;11458.31013941
"2020-08-31 05:00:00";11480.16090511;12059.87014159;9942.52986667;10272.44418079
"2020-09-07 05:00:00";10272.75835636;10554.37038471;9901.90575533;10335.15935596
"2020-09-14 05:00:00";10344.13900609;11145.91748214;10284.28270867;10933.64151956
"2020-09-21 05:00:00";10936.01947486;10991.11012337;10197.86492469;10775.26937624
"2020-09-28 05:00:00";10776.6136391;10945.34790707;10416.68920469;10669.58254327
"2020-10-05 05:00:00";10676.52895637;11442.2111099;10528.890831;11384.1819535
"2020-10-12 05:00:00";11392.63621516;11698.4677363;11223.01278163;11483.35971184
"2020-10-19 05:00:00";11495.03793859;13329.18403245;11408.29011785;13031.17431056
"2020-10-26 05:00:00";13031.20124688;14028.21429317;12822.38232695;13737.10982864
"2020-11-02 05:00:00";13737.03221087;15903.43797604;13243.159866;15479.56703842
"2020-11-09 05:00:00";15479.59572319;16463.17783998;14865.52927664;15955.58743887
"2020-11-16 05:00:00";15955.57698439;18936.62068806;15880.7056812;18370.00252365
"2020-11-23 05:00:00";18370.01733874;19390.96555566;16351.03485441;18177.48341979
